Set Name,Abbreviation
Scarlet & Violet,SVI
Paldea Evolved,PAL
Obsidian Flames,OBF
Scarlet & Violet—151,MEW
Paradox Rift,PAR
Paldean Fates,PAF
Temporal Forces,TEF
Twilight Masquerade,TWM
Shrouded Fable,SFA
Stellar Crown,SCR
Brilliant Stars,BRS
Astral Radiance,ASR
Pokémon GO,PGO
Lost Origin,LOR
Silver Tempest,SIT
Crown Zenith,CRZ
Sword & Shield,SSH
Rebel Clash,RCL
Darkness Ablaze,DAA
Champion's Path,CPA
Vivid Voltage,VIV
Shining Fates,SHF
Battle Styles,BST
Chilling Reign,CRE
Evolving Skies,EVS
Celebrations,CEL
Fusion Strike,FST
Sun & Moon,SUM
Guardians Rising,GRI
Burning Shadows,BUS
Shining Legends,SLG
Crimson Invasion,CIN
Ultra Prism,UPR
Forbidden Light,FLI
Celestial Storm,CES
Dragon Majesty,DRM
Lost Thunder,LOT
Team Up,TEU
Detective Pikachu,DET
Unbroken Bonds,UNB
Unified Minds,UNM
Hidden Fates,HIF
Cosmic Eclipse,CEC
Kalos Starter Set,KSS
XY,XY
Flashfire,FLF
Furious Fists,FFI
Phantom Forces,PHF
Primal Clash,PRC
Double Crisis,DCR
Roaring Skies,ROS
Ancient Origins,AOR
BREAKthrough,BKT
BREAKpoint,BKP
Generations,GEN
Fates Collide,FCO
Steam Siege,STS
Evolutions,EVO
Black & White,BLW
Emerging Powers,EPO
Noble Victories,NVI
Next Destinies,NXD
Dark Explorers,DEX
Dragons Exalted,DRX
Dragon Vault,DRV
Boundaries Crossed,BCR
Plasma Storm,PLS
Plasma Freeze,PLF
Plasma Blast,PLB
Legendary Treasures,LTR
Diamond & Pearl,DP
Mysterious Treasures,MT
Secret Wonders,SW
Great Encounters,GE
Majestic Dawn,MD
Legends Awakened,LA
Stormfront,SF
Platinum,PL
Rising Rivals,RR
Supreme Victors,SV
Arceus,AR
HeartGold & SoulSilver,HS
Unleashed,UL
Undaunted,UD
Triumphant,TM
Call of Legends,CL
EX Ruby & Sapphire,RS
EX Sandstorm,SS
EX Dragon,DR
EX Team Magma vs Team Aqua,MA
EX Hidden Legends,HL
EX FireRed & LeafGreen,RG
EX Team Rocket Returns,TRR
EX Deoxys,DX
EX Emerald,EM
EX Unseen Forces,UF
EX Delta Species,DS
EX Legend Maker,LM
EX Holon Phantoms,HP
EX Crystal Guardians,CG
EX Dragon Frontiers,DF
EX Power Keepers,PK
Southern Islands,SI
Neo Genesis,NG
Neo Discovery,ND
Neo Revelation,NR
Neo Destiny,NDY
Legendary Collection,LC
Expedition Base Set,EX
Aquapolis,AQ
Skyridge,SK
Base Set,BS
Jungle,JU
Fossil,FO
Base Set 2,B2
Team Rocket,TR
Gym Heroes,G1
Gym Challenge,G2
McDonald's Collection,MCD
